stacjo_id,student_id,st_pyt1,st_pyt2,st_pyt3,st_pyt4,st_pyt5,st_pyt6,st_pyt7,st_pyt8,st_pyt9,st_pyt10,st_pyt11,st_pyt12,st_pyt13,st_pyt14,st_pyt15,st_pyt16,st_pyt17,st_pyt18,st_pyt19,st_pyt20,st_pyt21,st_pyt22
1,1,Nie ma to dla mnie znaczenia,2,5,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,1,4
2,2,Tak,3,2,4,4,4,5,4,4,4,4,3,3,4,4,3,4,4,4,4,1,3
3,3,Tak,4,2,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,1,5
4,4,Tak,4,2,5,4,3,4,4,2,4,5,3,4,5,4,3,4,5,5,4,2,4
5,5,Nie,3,2,5,4,4,5,5,5,4,5,5,3,4,5,1,4,5,3,4,2,5
6,6,Nie,1,2,3,3,2,3,5,2,2,1,3,2,4,3,3,1,2,1,1,2,3
7,7,Tak,3,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5
8,8,Tak,3,3,4,5,4,3,4,5,4,3,5,4,3,5,5,5,5,5,4,2,4
9,9,Tak,4,3,4,4,4,3,4,4,5,5,4,4,4,4,4,4,5,4,4,2,4
10,10,Tak,3,2,4,4,5,5,5,5,3,3,3,3,4,4,5,3,4,4,3,1,3
11,11,Tak,4,4,5,4,5,5,5,5,5,4,5,4,4,4,5,5,5,5,4,2,5
12,12,Tak,4,2,4,4,3,3,3,3,4,2,3,3,3,3,4,3,4,3,2,1,4
13,13,Tak,3,2,4,4,4,5,5,4,5,3,4,5,3,3,4,5,5,5,5,1,4
14,14,Tak,3,2,3,4,4,5,5,1,5,2,4,4,3,3,4,5,4,5,4,1,3
15,15,Tak,3,2,5,4,4,4,5,4,4,3,5,5,5,4,3,5,5,4,5,1,4
16,16,Tak,4,2,3,2,4,5,3,5,4,3,4,4,5,4,4,4,3,4,5,1,4
17,17,Tak,3,2,4,4,4,5,5,5,4,3,5,4,5,5,5,4,5,4,4,2,4
18,18,Tak,3,3,4,3,2,3,4,5,3,3,4,4,3,3,4,4,4,4,4,2,4
19,19,Tak,3,2,5,4,3,5,5,5,5,3,5,5,5,5,5,5,5,4,4,2,4
20,20,Nie,2,2,4,2,1,4,4,4,3,2,3,3,3,4,4,4,3,2,4,2,3
21,21,Nie,1,3,5,3,4,4,3,1,3,2,5,4,4,1,1,3,4,3,5,2,4
22,22,Tak,2,2,3,3,3,5,5,5,3,2,4,2,5,4,3,3,4,4,5,1,3
23,23,Tak,3,2,4,3,3,2,2,4,4,2,4,4,4,4,4,3,3,3,3,2,4
24,24,Nie ma to dla mnie znaczenia,4,2,3,2,3,3,4,3,2,1,4,2,1,2,5,2,4,3,4,2,4
25,25,Tak,2,2,4,2,2,3,3,3,5,2,5,4,3,3,3,5,5,5,4,1,4
26,26,Nie,2,2,3,3,2,5,5,5,1,2,1,2,2,2,5,3,2,1,3,2,2
27,27,Tak,3,3,4,3,3,3,4,3,3,2,3,3,3,4,3,3,3,3,4,1,2
28,28,Nie ma to dla mnie znaczenia,2,2,4,4,3,5,5,2,4,3,4,3,2,2,3,4,4,4,4,2,4
